,songs_names,songs_ids,artists_names,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5995,Descarga Valdes,29w6NHhg0ZL9OtRnnvXgQc,"Bebo Valdés,Chucho Valdés",0.405,0.246,5,-14.352,1,0.0462,0.932,0.872,0.0981,0.639,80.242
5996,In Flight,3Mk8X0BQTypfytrfwMoVKM,Eddie Palmieri,0.482,0.876,5,-3.223,0,0.0395,0.609,0.542,0.0287,0.903,99.111
5997,Caravan,4mIgA9Ib0aWjwUzNGUCNzO,Dizzy Gillespie,0.373,0.603,1,-12.506,1,0.0584,0.792,0.0369,0.111,0.559,166.253
5998,Mas Que Nada,6clrt5x5viq13LZwEnHcur,Sergio Mendes & Brasil '66,0.644,0.483,5,-14.561,0,0.0443,0.566,5.33E-05,0.244,0.841,88.622
5999,Brazilian Love Affair,5CUvPHZF4c0gHeJuTG4lN1,Negroni's Trio,0.614,0.714,10,-7.851,1,0.038,0.133,0.816,0.0985,0.513,127.992
6000,Catin Latin,38dUD8S84uJi5NGmQ3LsRX,Dave Pike,0.369,0.423,5,-14.356,0,0.0361,0.805,0,0.287,0.782,202.088
6001,Don't Like Goodbyes - Bonus Track,36GHJdOaMJLh8b5iv4gxhu,"Jazz At Lincoln Center Orchestra,Wynton Marsalis,Rubén Blades",0.336,0.255,0,-10.385,1,0.035,0.765,0.000131,0.716,0.19,177.881
6002,Home Cookin',5iHt2zihQWvVBGdPIR4dKT,Hilton Ruiz,0.654,0.638,5,-8.999,0,0.0465,0.775,0.92,0.108,0.79,146.388
6003,El Shing-A-Ling,542bRCKrV7e5k9fEjFjy5x,Poncho Sanchez,0.551,0.572,2,-13.535,1,0.0747,0.379,0.0463,0.639,0.853,136.83
6004,Africa,54goL1KjbgwruLzJvdkgCn,"Alfredo Rodriguez,Pedrito Martinez",0.54,0.587,6,-6.489,0,0.0586,0.368,0,0.131,0.68,107.808
6005,Son de la Loma,3LLgK3dDBb52uEjx6zyASp,"Bebo Valdés,Chucho Valdés",0.414,0.286,5,-13.41,1,0.0479,0.951,0.861,0.169,0.735,90.466
6006,Tirándote Flores II,1Q3BcUqaBamQCMYteR2mAI,Eddie Palmieri,0.604,0.668,5,-5.716,0,0.043,0.341,0.000574,0.0376,0.867,142.433
6007,Slave to Love,28xiVJLGLwEHNFDzXKUIdY,"BossArt Ensemble,Marvin",0.835,0.378,2,-13.51,0,0.0392,0.761,0.162,0.0803,0.673,125.023
6008,Spanish Grease,4FOFC3YNvDgLesoVqRthZh,Willie Bobo,0.795,0.569,3,-10.72,1,0.0346,0.258,5.78E-06,0.277,0.862,127.259
6009,Con Alma - Live,2BmT47oVarEKfTOyOjiNp1,Carlos Henriquez,0.552,0.38,4,-9.379,0,0.0327,0.657,0.536,0.699,0.47,123.907
6010,The Fool On The Hill,1gBzDyq7e4CU8feOTXwI43,Sergio Mendes & Brasil '66,0.644,0.38,9,-16.217,1,0.0346,0.664,4.33E-05,0.1,0.701,123.755
6011,En Esta Tarde Gris,6QLMwPzna66p3kuJbWQMJ4,"Martirio,Raúl Rodríguez,Chano Dominguez",0.42,0.344,2,-10.568,0,0.0509,0.919,1.60E-06,0.153,0.489,161.756
6012,Seven Steps To Heaven,5JPGaCstRDwLekgNkgK9cK,Hilton Ruiz,0.372,0.517,5,-12.697,1,0.0279,0.52,0.396,0.12,0.65,79.563
6013,Cuchi-Frito (Fried Neck Bones),4jDOmbniEHzk2mlWg6TvxY,Larry Harlow,0.491,0.716,1,-6.888,1,0.0396,0.318,0.0981,0.97,0.666,136.27
6014,Reza,4EpucAOoGXgSW5HScC8V1F,Cal Tjader,0.549,0.261,11,-21.898,0,0.0731,0.886,0.938,0.13,0.129,155.491
6015,Con Alma,7wyznHrs1tQaeLMRdteaEh,Dizzy Gillespie,0.718,0.332,10,-13.213,0,0.0331,0.822,0.892,0.158,0.701,113.813
6016,La Explicación,2HlWEGp5Hefb38uuwEL4dI,"Hugo Fattoruso,Daniel Maza,Fabián Miodownik",0.471,0.394,2,-17.471,1,0.0392,0.319,0.763,0.102,0.696,79.083
6017,With A Little Help From My Friends,24itLHAUYIj6f5RB2lghL0,Sergio Mendes & Brasil '66,0.573,0.491,2,-17.295,1,0.0346,0.34,4.10E-05,0.0855,0.887,136.98
6018,Summertime,0XL0j2T7CMEJFLfWvwDP5J,"Giovanni Hidalgo,George Gershwin",0.521,0.711,9,-6.586,0,0.0346,0.256,0.815,0.0109,0.869,150.442
6019,Come Fly With Me,6OPXHnJY3NMn5Qr6K1Qqty,¡Oye Frank! Sonata Latina Tribute Orchestra,0.826,0.624,11,-6.698,1,0.0447,0.559,0,0.083,0.886,142.027
6020,Bucle,1DQDsPGGlQgVOlY1TKZ32B,"Proyecto Satélite,Alejandro Pino,Cristian Gallardo,Juan Villarroel,Cristóbal Massis,Tomás Gubbins",0.619,0.355,7,-11.85,0,0.0364,0.867,0.886,0.104,0.245,87.261
6021,Granada,22SmTBT1AQQpeH9gyhOOYG,"Arturo Sandoval,Plácido Domingo,Vicente Amigo",0.265,0.607,0,-6.925,1,0.0468,0.884,0.0375,0.0952,0.33,84.726
6022,Resemblance,1OlWRZBHestlAr0dLv5LBn,Eddie Palmieri,0.375,0.465,2,-12.129,1,0.0483,0.186,0.0043,0.117,0.284,93.794
6023,Traveling - En Vivo,7kzUmhZzibDAqQ5TIfF7c9,"Janio Abreu y Aire de Concierto,Victor Goines",0.423,0.541,5,-11.744,1,0.036,0.407,0.643,0.689,0.566,127.516
6024,Scarborough Fair,6tx4luUmjZXUW1HuLmNb4U,Sergio Mendes & Brasil '66,0.683,0.378,0,-17.45,0,0.0266,0.155,0.0162,0.0701,0.846,110.408
6025,Curacao,5jmtjYXYphbhRUTJ3AZE1P,Cal Tjader,0.612,0.343,7,-16.331,0,0.0361,0.969,0.919,0.0759,0.869,104.362
6026,Congadanza,2WAc2I5nwTKkBL5QB1fAdB,Chucho Valdés,0.398,0.704,2,-10.523,0,0.0568,0.803,0.919,0.0819,0.578,81.696
6027,Mulatu,0LhzIa0cXP8DJEs1nOCXZG,"Mulatu Astatke,Black Jesus Experience",0.563,0.556,6,-10.069,1,0.105,0.177,0.0634,0.11,0.795,131.979
6028,La Madre De Todos Los Errores,0ftNnBJrgDF3sAWynDRtLA,"John Finbury,John Patitucci,Chano Dominguez,Antonio Sánchez,Magos Hererra",0.498,0.491,0,-9.176,1,0.0365,0.52,0.00803,0.0883,0.453,121.2
6029,Sabor,7tzvCIB8xPWf9XuPvgRWUV,Bebo Valdés,0.668,0.55,1,-15.769,1,0.049,0.32,0.724,0.136,0.772,103.923
6030,Que Bueno Baila Usted,5c2JVgFOORbNCtaMS0myWY,Beny Moré,0.491,0.683,5,-7.579,1,0.125,0.841,0.0172,0.41,0.554,174.444
6031,Corazón Partio,2YKpikIUrPvznHwdIimQX2,"Arturo Sandoval,Alejandro Sanz,Gordon Goodwin's Big Phat Band",0.607,0.763,0,-6.23,1,0.12,0.321,0,0.068,0.753,80.022
6032,They Can't Take That Away from Me,0MRFCYhfI8n1DrLKv0lSKC,Gloria Estefan,0.39,0.289,10,-12.969,1,0.0425,0.767,1.87E-06,0.127,0.265,171.885
6033,Night And Day,3QWx2J5GxHhoFwBAZrTVBy,Sergio Mendes & Brasil '66,0.581,0.424,8,-16.922,1,0.0319,0.74,1.85E-06,0.0804,0.742,128.075
6034,Tromboniseland´2,6VP5Nfm3iSdxo4DLfsqZOS,"Santiago Cañada,Los Yakis",0.698,0.388,9,-13.164,1,0.101,0.899,0.00971,0.0932,0.604,109.765
6035,"Mozart: Piano Sonata in F, KV332 (2nd Part - Adagio) - Live in Clearwater / 2018",5rCs2GkWdaGytddAxoEUNm,Chick Corea,0.335,0.145,10,-20.586,1,0.0427,0.993,0.891,0.298,0.36,102.29
6036,Guantanameritmo,7h8tXB9LZjw3juf5vToedn,"Wolfgang Amadeus Mozart,Elio Rodriguez Luis,Klazz Brothers,Cuba Percussion",0.452,0.511,0,-11.371,0,0.0276,0.733,0.885,0.14,0.673,138.52
6037,Clair De Lune,5oEUDWZ881K3A2HH82ZIQ4,David Hazeltine,0.357,0.192,1,-20.929,1,0.036,0.898,0.281,0.113,0.334,171.387
6038,"Eternal Source of Light Divine, HWV 74 (Arrangement)",2GTQ3iVNLw90PLPVUdPE4t,"George Frideric Handel,Rolf Lislevand,Concerto Stella Matutina",0.183,0.126,0,-18.076,1,0.0318,0.881,0.939,0.151,0.0831,97.639
6039,Les 4 Saisons Concerto N 2 L'Ete - Adagio,6b1kdJWD8LuDv1Smw5f3Oo,Raymond Fol,0.509,0.154,3,-15.65,0,0.0428,0.758,0.00723,0.102,0.494,76.496
6040,Awakening,0oZcTzuOY0JQLHm42A84WP,Eddie Daniels,0.555,0.416,8,-16.593,1,0.0448,0.544,0.913,0.0698,0.231,94.926
6041,Handel / Arr Pluhar: Sinfonia (From Alcina HWV 34),3rjSA87foWFMhgSmT4MX3l,"George Frideric Handel,Christina Pluhar,L'Arpeggiata",0.414,0.289,5,-16.422,1,0.0444,0.831,0.0404,0.0365,0.452,119.941
6042,Don't Stop This Train,2dCjlbleYGdZiA7NZyK784,The Modern Jazz Quartet,0.578,0.304,9,-20.505,0,0.035,0.791,0.000126,0.102,0.726,139.786
6043,Pavane,1pASaPpC5gkDDQlcZi1QKi,Regina Carter,0.337,0.23,0,-16.269,1,0.0495,0.59,0.0229,0.109,0.127,76.691
6044,Orphée & Eurydice: Mélodie - Arranged by Charl du Plessis,3N3QAAN8Z1VKOy4GEl0Yjf,"Christoph Willibald Gluck,Charl du Plessis Trio",0.387,0.125,2,-26.961,0,0.0444,0.813,0.814,0.676,0.038,133.357
6045,Prelude In E Minor,127rMf8q5SekX9hFXOboFm,Gerry Mulligan Sextet,0.553,0.0362,4,-24.013,0,0.0394,0.96,0.841,0.107,0.406,140.492
6046,Solfeggio in C Minor,1i8Q6oG6v5ogyHnmITPM9D,"Carl Philipp Emanuel Bach,Eugen Cicero",0.332,0.605,0,-13.316,0,0.0342,0.674,0.943,0.247,0.548,150.179
6047,Gnossienne No. 1,5mjFeu4fGH6RgpklX4vAAs,Cyrus Chestnut,0.549,0.0464,10,-23.564,0,0.0346,0.907,0.873,0.111,0.35,116.366
6048,Beltà poi che t'assenti (Arr. for 2 Pianos),3V0UWSP292tAoj4SeLI5eZ,"Jenny Lin,Carlo Gesualdo,Uri Caine",0.583,0.123,10,-18.8,1,0.0675,0.994,0.888,0.0999,0.181,118.864
6049,"Movement I, Pt. IV",5HvjZVl5FgrMxusRKPchBs,"The Classical Jazz Quartet,Kenny Barron,Ron Carter,Stefon Harris,Lewis Nash",0.471,0.193,5,-19.955,0,0.0357,0.927,0.864,0.128,0.0988,129.933
6050,Abide With Me,0569577j9mWKG16JEWYKNU,Thelonious Monk Septet,0.376,0.00226,3,-21.337,1,0.0558,0.939,0.77,0.0912,0.543,77.867
6051,"Eight Concert Studies for Piano, Op. 40: 3. Toccatina",1DCksP8NjTjm3i0qM96xCW,"Nikolai Kapustin,Yuja Wang",0.312,0.275,4,-19.232,0,0.0294,0.989,0.893,0.0765,0.55,137.499
6052,"Goldberg Variations: Aria (Arr. for Jazz Trio from Goldberg Variations, BWV 988)",1Q66Dy3nUBkuWb4CcUCVpu,Jacques Loussier Trio,0.422,0.224,7,-18.816,1,0.0398,0.931,0.772,0.0723,0.363,128.335
6053,Nutcracker Suite: Nutcracker Suite: Sugar Rum Cherry (Dance of the Sugar Plum Fairy),4HUYWxC3FMK9lj1fBe0lZE,"Duke Ellington,Harmonie Ensemble/New York,Steven Richman",0.59,0.198,9,-12.918,0,0.0535,0.899,0.72,0.114,0.41,98.56
6054,"8 Humoresques, Op. 101, B. 187: No. 7. Poco lento e grazioso in G-Flat Major (arr. A. Tatum)",4iKWIToTuo61tpdJjEgz27,Art Tatum,0.343,0.287,1,-16.541,1,0.0333,0.977,0.861,0.106,0.705,70.71
6055,"Piano Concerto No. 2 (feat. Jeff Tain Watts, Silvano Monasterios & Chris Smith)",1304Brw70MJMGq2l5UZmqv,"Troy Roberts,Jeff ""Tain"" Watts,Silvano Monasterios,Chris Smith",0.416,0.375,0,-11.391,0,0.0326,0.178,0.000758,0.0946,0.282,110.117
6056,Hoe Down,2Z97vHYiVD4fkBIUs8P1by,Oliver Nelson,0.578,0.566,0,-8.733,1,0.0531,0.755,0.537,0.0987,0.83,125.03
6057,Turkish Rondo,2QJg3WPi2to3IOA3WfHBlO,Cyrus Chestnut,0.526,0.432,9,-16.928,0,0.0442,0.367,0.937,0.183,0.8,138.44
6058,"Variations sur un thème de Monteverdi (I, II, III)",7ayYaBzaOfkrUN4HHo08VL,Art Ensemble Of Chicago,0.19,0.259,5,-10.609,1,0.0341,0.864,0.784,0.122,0.0388,86.077
6059,"Intermezzo, Op. 118, No. 2 - Live",0Lf9AIOPZqprp67xBWbTG1,Jason Moran,0.426,0.156,9,-30.385,1,0.0595,0.818,0.893,0.0947,0.138,69.916
6060,Variation d'Apollon,7xfirUVtWnX4xkFiTlSUbP,The Bad Plus,0.544,0.357,0,-12.896,1,0.0352,0.897,0.921,0.0937,0.188,97.377
6061,Valse Triste - Rudy Van Gelder Edition/Digital Remaster/2007,75jobUBuqWb6hanrIg0hEk,Wayne Shorter,0.377,0.491,5,-9.348,0,0.0343,0.63,0.00388,0.294,0.368,147.672
6062,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air (On a G String)",4FsUPnXoCN6VSgkU6wXAwz,Stephan-König-Trio,0.555,0.0255,2,-31.733,1,0.0599,0.986,0.906,0.0616,0.131,120.281
6063,Lights And Shadows,69WtjwDVwSfFBMEiMxS5lk,Nat Bartsch,0.404,0.192,5,-15.648,1,0.0302,0.886,0.912,0.0833,0.111,100.364
6064,Improvisation sur le 1er mouv J S Bach,6vfPFtuu9DQXojJFh4MAKE,Eddie South - Cordonnie - Stéphane Grappelli - Django Reinhardt,0.55,0.341,2,-9.962,0,0.0599,0.962,0.279,0.0535,0.72,116.249
6065,"Purcell / Arr Pluhar: Come, ye sons of art away (Birthday Ode for Queen Mary), Z. 323/5: ""Strike the viol""",0smlyUooUKdzU8WBrG7TZE,"Henry Purcell,Christina Pluhar,L'Arpeggiata,Raquel Andueza",0.543,0.335,7,-16.074,0,0.0563,0.945,0.284,0.092,0.77,125.854
6066,Spain,5rEsXAYqp0XOZpltNk6Y1G,Chick Corea,0.381,0.502,11,-12.683,0,0.0452,0.887,0.931,0.14,0.286,143.105
6067,First Gymnopedie,3VTkZ6kQyUrNtvU8uY483O,Eddie Daniels,0.352,0.216,7,-16.216,1,0.0489,0.962,0.933,0.113,0.113,77.944
6068,Après Un Rêve,2gD9uqruiTbIqiKNbod5v1,"Sean Harris,Claudia Hommel",0.381,0.369,0,-8.114,0,0.0304,0.953,0.000144,0.0907,0.121,81.547
6069,Moonlight Sonata,6B7JRtfZCcZ9Ra2vISs08q,David Hazeltine,0.408,0.144,1,-21.874,1,0.0331,0.832,0.406,0.11,0.182,74.411
6070,1er Mov. Concierto De Brandemburgo Nº 5,5l39TUVtu171qtrqYru0BK,"Johann Sebastian Bach,Emilio Aragón,Miembros De La Orquesta Sinfonica De Tenerife",0.596,0.797,7,-7.508,1,0.0451,0.691,0.00239,0.0774,0.701,88.25
6071,Elise,49RwXMw3iXXHoMsPt3ofJf,"Ludwig van Beethoven,Wim De Vries,Markus Schinkel,marcus schinkel trio",0.363,0.557,4,-10.996,0,0.03,0.44,0.701,0.0836,0.439,125.059
6072,"Song for Amadeus (Improvisation on Mozart's Piano Sonata No. 2 in F Major, K. 280/189e: II. Adagio) - Vocal",3LXQR46zbau5Xn2vFbbhL6,"Bobby McFerrin,Chick Corea",0.509,0.00672,8,-30.4,1,0.0408,0.98,0.00301,0.0842,0.327,127.161
6073,Chopin: Prelude In E-Minor,3Xp9K5dWLNz57RyjgmCJWu,Chucho Valdés,0.295,0.113,9,-23.004,0,0.0357,0.991,0.871,0.215,0.0388,66.082
6074,"Fourth Movement, Allegro Assai, Exposition & Transition",1mtepkkm9JsUngXRNi7Y9u,Mark Kramer Trio,0.513,0.238,0,-18.894,0,0.0461,0.676,0.926,0.104,0.717,101.672
6075,Allemanda,5k2DDWEpGfM9YFLfV9XLJ9,Vernizzi Jazz Quartet & Corrado Giuffredi,0.561,0.417,7,-10.242,0,0.0326,0.898,0.00813,0.109,0.741,99.132
6076,The Bach Suite: Allegro - Live,5ldYARwUUKPaiLLPSGK6cD,Oscar Peterson,0.386,0.638,2,-11.129,1,0.0355,0.874,0.44,0.705,0.502,126.6
6077,Chorale,5q8uPwTUxD4p5MMwPCUkmg,"Dave Brubeck,Paul Desmond,Dave Van Kriedt",0.57,0.322,0,-19.171,0,0.0493,0.535,0.561,0.0823,0.587,91.486
6078,Improv/Prelude from Bach violin partita #3 - Live at the Quick,0iPEajhRJb41aaGWuUWCfV,Béla Fleck and the Flecktones,0.375,0.337,0,-21.892,1,0.0849,0.978,0.865,0.714,0.875,105.636
6079,Concierto de Aranjuez: Adagio,5snEgy8RMnkJZqfwqD6svi,Miles Davis,0.257,0.0851,5,-22.028,1,0.0399,0.935,0.582,0.349,0.0392,107.62
6080,"Brandenburg Concerto No. 3, First Movement",1Fws4lAuMrbcNRVEbbN5RA,Hubert Laws,0.612,0.345,2,-16.121,1,0.0369,0.928,0.283,0.224,0.785,90.132
6081,"Symphony No. 5, Adagietto",26h34kmorsumFSyRqZ3lVc,"Gustav Mahler,Uri Caine,Ralph Alessi,David Binney,Jim Black,Mark Feldman,Michael Formanek,DJ Olive",0.162,0.308,5,-14.315,1,0.0453,0.929,0.633,0.106,0.045,83.372
6082,Peer Gynt Suites Nos. 1 & 2 : In the Hall of the Mountain King,0PCFkOmhv7UdcLReoMG05m,Duke Ellington,0.555,0.397,6,-11.686,0,0.0343,0.486,0.000733,0.102,0.607,114.66
6083,2001 Also Sprach Zarathustra,5hXFoe8prMnikdM21Fcgl6,Deodato,0.609,0.723,5,-9.599,1,0.0459,0.345,0.684,0.115,0.546,101.061
6084,"Nocturne No. 20 in C-sharp minor, Op. posthume",7btkqjF0Jw2DopaH6wvgvD,"Frédéric Chopin,Jacques Loussier",0.485,0.135,6,-18.958,0,0.0357,0.991,0.907,0.172,0.21,117.079
6085,"Beethoven's Piano Sonata No. 8, Pathetique",7hdbfMdjsdclkZONmT7lD6,Hiromi,0.548,0.0955,1,-22.531,1,0.0368,0.741,0.93,0.112,0.0594,129.332
6086,Boléro,0okBlGJdxmDos1f6H4PyRq,Trio X of Sweden,0.553,0.354,0,-15.213,1,0.0433,0.757,0.881,0.112,0.682,79.314
6087,First Gymnopedie,6A5DjTiYSkelNb2QuEV4vt,Yusef Lateef,0.449,0.36,7,-17.882,1,0.21,0.992,0.888,0.157,0.193,78.916
6088,"Bonjoir Biqui, Bonjour!",2x1EJY9SQDSr2KEbEpZZCd,"Kirk Knuffke,Jesse Stacken",0.648,0.0372,6,-17.051,0,0.079,0.992,0.335,0.084,0.196,68.888
6089,Midnight (feat. Liam Payne),4ZTTUAjJCd4NMZmIU7RB4c,"Alesso,Liam Payne",0.587,0.648,11,-6.927,0,0.0439,0.0561,0,0.115,0.281,144.028
6090,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,Niall Horan,0.591,0.841,4,-4.351,0,0.0304,0.0119,0,0.395,0.392,109.034
6091,The Business,6f3Slt0GbA2bPZlz0aIFXN,Tiësto,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031
6092,Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,Jason Derulo,0.789,0.711,2,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985
6093,Giants,0l4AReW2LuX0yStPfgQgSR,Dermot Kennedy,0.579,0.839,8,-5.409,0,0.0703,0.0145,3.04E-05,0.201,0.589,158.141
6094,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005
6095,Nightlight,06kxa3al7bUqRRo5nAFduZ,"ILLENIUM,Annika Wells",0.494,0.651,11,-4.127,0,0.0384,0.0819,0,0.104,0.162,149.979
6096,GIRL LIKE ME,1zLBsSVxETQOfINOLYvT5m,"Black Eyed Peas,Shakira",0.965,0.485,2,-8.784,1,0.191,0.0206,0.0237,0.0655,0.312,124.025
6097,Your Man,6Vgtvd7I5yopJdBuxqjBd2,Joji,0.785,0.818,7,-8.711,1,0.099,0.624,0.149,0.149,0.0503,117.98
6098,Anyone,31qCy5ZaophVA81wtlwLc4,Justin Bieber,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13E-06,0.113,0.584,115.884
6099,Good Example (with Andy Grammer),5SspaMrPfWyRCS0GpjIxa6,"R3HAB,Andy Grammer",0.456,0.496,1,-6.986,1,0.0743,0.427,0,0.134,0.45,90.552
6100,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,3iw6V4LH7yPj1ESORX9RIN,"Nathan Evans,220 KID,Billen Ted",0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932
6101,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,"Dua Lipa,DaBaby",0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977
6102,What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd,Jonas Brothers,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03E-06,0.0773,0.324,113.039
6103,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,"Sam Smith,Normani",0.741,0.52,8,-7.513,1,0.0656,0.45,1.97E-06,0.222,0.347,102.998
6104,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,"MEDUZA,Dermot Kennedy",0.632,0.595,8,-7.644,0,0.0401,0.0689,0,0.209,0.435,124.114
6105,Let Me Move You - From the Netflix film Work It,0roOLcll6SSTYZwsQFmXqP,Sabrina Carpenter,0.624,0.628,4,-6.582,0,0.0408,0.0112,0.0191,0.0814,0.772,114.556
6106,On Me (feat. Ava Max),7k6tAZp4m93oswrPqSfBbc,"Thomas Rhett,Kane Brown,Ava Max",0.548,0.721,8,-4.466,1,0.0472,0.0119,0,0.216,0.594,177.918
6107,Free Spirit,2kAIpGWnlFLQh48iut6Zzq,Khalid,0.627,0.446,2,-9.477,0,0.0332,0.308,0.00077,0.111,0.11,139.994
6108,Dance with Me (feat. Thomas Rhett & Young Thug),6wXgnhpmOPEJ7cUweSyy2B,"Diplo,Thomas Rhett,Young Thug",0.73,0.792,6,-5.33,0,0.13,0.0264,0,0.101,0.745,99.039
6109,Safe With Me (with Audrey Mika),6Skh3CBum0pZw9TOr7FQnX,"Gryffin,Audrey Mika",0.497,0.757,11,-4.189,1,0.127,0.0449,0,0.119,0.507,169.902
6110,ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,"Surf Mesa,Emilee",0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05
6111,Circles,4VginDwYTP2eaHJzO0QMjG,Post Malone,0.704,0.758,0,-3.537,1,0.0402,0.233,0.00144,0.0924,0.534,120.003
6112,Higher Love,6oJ6le65B3SEqPwMRNXWjY,"Kygo,Whitney Houston",0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05E-06,0.101,0.404,103.952
6113,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),5l0nX3AhmmF717aKSs8qSH,"Miley Cyrus,Stevie Nicks",0.681,0.737,4,-5.246,0,0.0384,0.0291,7.16E-06,0.0856,0.278,109.95
6114,Put Your Records On,1fah1uAs7HeTYDlNftKr3K,Ritt Momney,0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066
6115,Know Your Worth,0TrPqhAMoaKUFLR7iYDokf,"Khalid,Disclosure",0.79,0.694,9,-7.726,0,0.0708,0.145,0.00252,0.281,0.508,103.007
6116,3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891
6117,Better Days,2K0r5GD5zYlEMx2M7ZMcqG,OneRepublic,0.626,0.726,5,-5.015,1,0.0376,0.235,0,0.304,0.257,89.132
6118,Conversations in the Dark - John Legend vs. David Guetta,20d27F17AZOxTJOEHAVK2Y,"John Legend,David Guetta",0.572,0.742,8,-4.589,0,0.0347,0.245,0,0.108,0.376,127.19
6119,Lonely,4fwo6czG5nvOQMzhOto1ya,"Diplo,Jonas Brothers",0.738,0.717,1,-5.121,1,0.0573,0.062,0,0.205,0.5,98.047
6120,Take It Easy,5Pgq1Gfeth2CuUhyCXwlfC,Surfaces,0.765,0.689,6,-5.616,1,0.0456,0.236,7.39E-06,0.114,0.497,144.958
6121,Glad You Exist,472vIK1ldetTxRxG3ovaiY,Dan + Shay,0.748,0.551,11,-6.12,1,0.0349,0.235,0,0.119,0.66,103.953
6122,Freedom,5Gj1wG8b12VQdEd3hUuSwo,"Kygo,Zak Abel",0.715,0.635,7,-6.591,1,0.0791,0.127,0,0.0862,0.39,112.887
6123,My Head & My Heart,1KixkQVDUHggZMU9dUobgm,Ava Max,0.614,0.934,9,-3.709,0,0.07,0.0697,0,0.121,0.436,116.001
6124,The Best Days (feat. Tabitha),140XpWSdJ0jZEbLj9iVnPA,"Sam Feldt,Karma Child,Tabitha",0.667,0.827,11,-5.631,1,0.0368,0.0863,0,0.0565,0.573,107.95
6125,Together,5id3Rqn7SPj1LX4FfY4nGz,Sia,0.521,0.877,7,-5.444,1,0.0683,0.0132,0.0806,0.0929,0.199,180.007
6126,I Love You's,28Tv8zltFDr5wBCG3Pfky4,Hailee Steinfeld,0.682,0.783,8,-4.997,1,0.18,0.0262,0,0.206,0.323,106.899
6127,In Your Arms (with X Ambassadors),70YPzqSEwJvAIQ6nMs1cjY,"ILLENIUM,X Ambassadors",0.404,0.806,2,-4.75,1,0.0496,0.198,0,0.114,0.112,148.036
6128,survivin',1lwvJQGhdq6Kyr4BBquf23,Bastille,0.787,0.78,7,-5.023,1,0.129,0.25,0,0.0908,0.68,95.035
6129,Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,PUBLIC,0.606,0.799,9,-4.452,1,0.0261,0.0128,0,0.15,0.638,103.014
6130,Fly Away,1jgu8MFTEGdL1wjw9gZj5y,Tones And I,0.805,0.515,4,-6.201,1,0.0915,0.223,0,0.238,0.488,124.969
6131,You (with Marshmello & Vance Joy),1GkHyypTFkUf0QQKwYoXH4,"benny blanco,Marshmello,Vance Joy",0.668,0.563,11,-6.433,1,0.0522,0.0493,0,0.119,0.305,103.116
6132,Floating Through Space,2AceGjiX9isUbXmMZa0Dl1,"Sia,David Guetta",0.575,0.844,6,-4.89,0,0.072,0.00172,0,0.114,0.277,104.914
6133,Share That Love (feat. G-Eazy),44l9nnCVvOQBbWG6tDViKl,"Lukas Graham,G-Eazy",0.715,0.658,11,-4.304,0,0.106,0.162,0,0.0742,0.795,158.024
6134,Black And White,7rpNuuoMbid56XkDsx2FjE,Niall Horan,0.443,0.582,2,-6.02,1,0.0482,0.0301,0,0.127,0.239,147.589
6135,The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,"Maren Morris,Hozier",0.561,0.597,11,-6,0,0.0405,0.286,0,0.0979,0.355,76.826
6136,OK Not To Be OK,0zzVTGyRrWpQu8Fr28NRAv,"Marshmello,Demi Lovato",0.743,0.837,1,-5.025,0,0.0649,0.0172,0,0.0743,0.263,103.072
6137,Stay Next To Me (with Chelsea Cutler),6SGG5AxHShqSYiV9fCWpZz,"Quinn XCII,Chelsea Cutler",0.581,0.584,2,-4.928,1,0.284,0.0805,0,0.366,0.756,179.954
